OBJECTID,lattitude,longitude,lat&long
2450,23.79377163,90.36849764,"'23.79377163,90.36849764'"
2451,23.79377163,90.37029964,"'23.79377163,90.37029964'"
2452,23.79377163,90.37210164,"'23.79377163,90.37210164'"
2453,23.79377163,90.37390364,"'23.79377163,90.37390364'"
2454,23.79377163,90.37570564,"'23.79377163,90.37570564'"
2455,23.79377163,90.37750764,"'23.79377163,90.37750764'"
2456,23.79377163,90.37930964,"'23.79377163,90.37930964'"
2457,23.79377163,90.38111164,"'23.79377163,90.38111164'"
2458,23.79377163,90.38291364,"'23.79377163,90.38291364'"
2459,23.79377163,90.38471564,"'23.79377163,90.38471564'"
2460,23.79377163,90.38651764,"'23.79377163,90.38651764'"
2461,23.79377163,90.38831964,"'23.79377163,90.38831964'"
2462,23.79377163,90.39012164,"'23.79377163,90.39012164'"
2463,23.79377163,90.39192364,"'23.79377163,90.39192364'"
2464,23.79377163,90.39372564,"'23.79377163,90.39372564'"
2465,23.79377163,90.39552764,"'23.79377163,90.39552764'"
2466,23.79377163,90.39732964,"'23.79377163,90.39732964'"
2467,23.79377163,90.39913164,"'23.79377163,90.39913164'"
2468,23.79377163,90.40093364,"'23.79377163,90.40093364'"
2469,23.79377163,90.40273564,"'23.79377163,90.40273564'"
2470,23.79377163,90.40453764,"'23.79377163,90.40453764'"
2471,23.79377163,90.40633964,"'23.79377163,90.40633964'"
2472,23.79377163,90.40814164,"'23.79377163,90.40814164'"
2473,23.79377163,90.40994364,"'23.79377163,90.40994364'"
2474,23.79377163,90.41174564,"'23.79377163,90.41174564'"
2475,23.79377163,90.41354764,"'23.79377163,90.41354764'"
2476,23.79377163,90.41534964,"'23.79377163,90.41534964'"
2477,23.79377163,90.41715164,"'23.79377163,90.41715164'"
2478,23.79377163,90.41895364,"'23.79377163,90.41895364'"
2479,23.79377163,90.42075564,"'23.79377163,90.42075564'"
2480,23.79377163,90.42255764,"'23.79377163,90.42255764'"
2481,23.79377163,90.42435964,"'23.79377163,90.42435964'"
2482,23.79377163,90.42616164,"'23.79377163,90.42616164'"
2483,23.79557363,90.33966564,"'23.79557363,90.33966564'"
2484,23.79557363,90.34146764,"'23.79557363,90.34146764'"
2485,23.79557363,90.34326964,"'23.79557363,90.34326964'"
2486,23.79557363,90.34507164,"'23.79557363,90.34507164'"
2487,23.79557363,90.34687364,"'23.79557363,90.34687364'"
2488,23.79557363,90.34867564,"'23.79557363,90.34867564'"
2489,23.79557363,90.35047764,"'23.79557363,90.35047764'"
2490,23.79557363,90.35227964,"'23.79557363,90.35227964'"
2491,23.79557363,90.35408164,"'23.79557363,90.35408164'"
2492,23.79557363,90.35588364,"'23.79557363,90.35588364'"
2493,23.79557363,90.35768564,"'23.79557363,90.35768564'"
2494,23.79557363,90.35948764,"'23.79557363,90.35948764'"
2495,23.79557363,90.36128964,"'23.79557363,90.36128964'"
2496,23.79557363,90.36309164,"'23.79557363,90.36309164'"
2497,23.79557363,90.36489364,"'23.79557363,90.36489364'"
2498,23.79557363,90.36669564,"'23.79557363,90.36669564'"
2499,23.79557363,90.36849764,"'23.79557363,90.36849764'"
2500,23.79557363,90.37029964,"'23.79557363,90.37029964'"
2501,23.79557363,90.37210164,"'23.79557363,90.37210164'"
2502,23.79557363,90.37390364,"'23.79557363,90.37390364'"
2503,23.79557363,90.37570564,"'23.79557363,90.37570564'"
2504,23.79557363,90.37750764,"'23.79557363,90.37750764'"
2505,23.79557363,90.37930964,"'23.79557363,90.37930964'"
2506,23.79557363,90.38111164,"'23.79557363,90.38111164'"
2507,23.79557363,90.38291364,"'23.79557363,90.38291364'"
2508,23.79557363,90.38471564,"'23.79557363,90.38471564'"
2509,23.79557363,90.38651764,"'23.79557363,90.38651764'"
2510,23.79557363,90.38831964,"'23.79557363,90.38831964'"
2511,23.79557363,90.39012164,"'23.79557363,90.39012164'"
2512,23.79557363,90.39192364,"'23.79557363,90.39192364'"
2513,23.79557363,90.39372564,"'23.79557363,90.39372564'"
2514,23.79557363,90.39552764,"'23.79557363,90.39552764'"
2515,23.79557363,90.39732964,"'23.79557363,90.39732964'"
2516,23.79557363,90.39913164,"'23.79557363,90.39913164'"
2517,23.79557363,90.40093364,"'23.79557363,90.40093364'"
2518,23.79557363,90.40273564,"'23.79557363,90.40273564'"
2519,23.79557363,90.40453764,"'23.79557363,90.40453764'"
2520,23.79557363,90.40633964,"'23.79557363,90.40633964'"
2521,23.79557363,90.40814164,"'23.79557363,90.40814164'"
2522,23.79557363,90.40994364,"'23.79557363,90.40994364'"
2523,23.79557363,90.41174564,"'23.79557363,90.41174564'"
2524,23.79557363,90.41354764,"'23.79557363,90.41354764'"
2525,23.79557363,90.41534964,"'23.79557363,90.41534964'"
2526,23.79557363,90.41715164,"'23.79557363,90.41715164'"
2527,23.79557363,90.41895364,"'23.79557363,90.41895364'"
2528,23.79557363,90.42075564,"'23.79557363,90.42075564'"
2529,23.79557363,90.42255764,"'23.79557363,90.42255764'"
2530,23.79557363,90.42435964,"'23.79557363,90.42435964'"
2531,23.79737563,90.33966564,"'23.79737563,90.33966564'"
2532,23.79737563,90.34146764,"'23.79737563,90.34146764'"
2533,23.79737563,90.34326964,"'23.79737563,90.34326964'"
2534,23.79737563,90.34507164,"'23.79737563,90.34507164'"
2535,23.79737563,90.34687364,"'23.79737563,90.34687364'"
2536,23.79737563,90.34867564,"'23.79737563,90.34867564'"
2537,23.79737563,90.35047764,"'23.79737563,90.35047764'"
2538,23.79737563,90.35227964,"'23.79737563,90.35227964'"
2539,23.79737563,90.35408164,"'23.79737563,90.35408164'"
2540,23.79737563,90.35588364,"'23.79737563,90.35588364'"
2541,23.79737563,90.35768564,"'23.79737563,90.35768564'"
2542,23.79737563,90.35948764,"'23.79737563,90.35948764'"
2543,23.79737563,90.36128964,"'23.79737563,90.36128964'"
2544,23.79737563,90.36309164,"'23.79737563,90.36309164'"
2545,23.79737563,90.36489364,"'23.79737563,90.36489364'"
2546,23.79737563,90.36669564,"'23.79737563,90.36669564'"
2547,23.79737563,90.36849764,"'23.79737563,90.36849764'"
2548,23.79737563,90.37029964,"'23.79737563,90.37029964'"
2549,23.79737563,90.37210164,"'23.79737563,90.37210164'"
2550,23.79737563,90.37390364,"'23.79737563,90.37390364'"
2551,23.79737563,90.37570564,"'23.79737563,90.37570564'"
2552,23.79737563,90.37750764,"'23.79737563,90.37750764'"
2553,23.79737563,90.37930964,"'23.79737563,90.37930964'"
2554,23.79737563,90.38111164,"'23.79737563,90.38111164'"
2555,23.79737563,90.38291364,"'23.79737563,90.38291364'"
2556,23.79737563,90.38471564,"'23.79737563,90.38471564'"
2557,23.79737563,90.38651764,"'23.79737563,90.38651764'"
2558,23.79737563,90.38831964,"'23.79737563,90.38831964'"
2559,23.79737563,90.39012164,"'23.79737563,90.39012164'"
2560,23.79737563,90.39192364,"'23.79737563,90.39192364'"
2561,23.79737563,90.39372564,"'23.79737563,90.39372564'"
2562,23.79737563,90.39552764,"'23.79737563,90.39552764'"
2563,23.79737563,90.39732964,"'23.79737563,90.39732964'"
2564,23.79737563,90.39913164,"'23.79737563,90.39913164'"
2565,23.79737563,90.40093364,"'23.79737563,90.40093364'"
2566,23.79737563,90.40273564,"'23.79737563,90.40273564'"
2567,23.79737563,90.40453764,"'23.79737563,90.40453764'"
2568,23.79737563,90.40633964,"'23.79737563,90.40633964'"
2569,23.79737563,90.40814164,"'23.79737563,90.40814164'"
2570,23.79737563,90.40994364,"'23.79737563,90.40994364'"
2571,23.79737563,90.41174564,"'23.79737563,90.41174564'"
2572,23.79737563,90.41354764,"'23.79737563,90.41354764'"
2573,23.79737563,90.41534964,"'23.79737563,90.41534964'"
2574,23.79737563,90.41715164,"'23.79737563,90.41715164'"
2575,23.79737563,90.41895364,"'23.79737563,90.41895364'"
2576,23.79737563,90.42075564,"'23.79737563,90.42075564'"
2577,23.79737563,90.42255764,"'23.79737563,90.42255764'"
2578,23.79737563,90.42435964,"'23.79737563,90.42435964'"
2579,23.79917763,90.34326964,"'23.79917763,90.34326964'"
2580,23.79917763,90.34507164,"'23.79917763,90.34507164'"
2581,23.79917763,90.34687364,"'23.79917763,90.34687364'"
2582,23.79917763,90.34867564,"'23.79917763,90.34867564'"
2583,23.79917763,90.35047764,"'23.79917763,90.35047764'"
2584,23.79917763,90.35227964,"'23.79917763,90.35227964'"
2585,23.79917763,90.35408164,"'23.79917763,90.35408164'"
2586,23.79917763,90.35588364,"'23.79917763,90.35588364'"
2587,23.79917763,90.35768564,"'23.79917763,90.35768564'"
2588,23.79917763,90.35948764,"'23.79917763,90.35948764'"
2589,23.79917763,90.36128964,"'23.79917763,90.36128964'"
2590,23.79917763,90.36309164,"'23.79917763,90.36309164'"
2591,23.79917763,90.36489364,"'23.79917763,90.36489364'"
2592,23.79917763,90.36669564,"'23.79917763,90.36669564'"
2593,23.79917763,90.36849764,"'23.79917763,90.36849764'"
2594,23.79917763,90.37029964,"'23.79917763,90.37029964'"
2595,23.79917763,90.37210164,"'23.79917763,90.37210164'"
2596,23.79917763,90.37390364,"'23.79917763,90.37390364'"
2597,23.79917763,90.37570564,"'23.79917763,90.37570564'"
2598,23.79917763,90.37750764,"'23.79917763,90.37750764'"
2599,23.79917763,90.37930964,"'23.79917763,90.37930964'"
2600,23.79917763,90.38111164,"'23.79917763,90.38111164'"
2601,23.79917763,90.38291364,"'23.79917763,90.38291364'"
2602,23.79917763,90.38471564,"'23.79917763,90.38471564'"
2603,23.79917763,90.38651764,"'23.79917763,90.38651764'"
2604,23.79917763,90.38831964,"'23.79917763,90.38831964'"
2605,23.79917763,90.39012164,"'23.79917763,90.39012164'"
2606,23.79917763,90.39192364,"'23.79917763,90.39192364'"
2607,23.79917763,90.39372564,"'23.79917763,90.39372564'"
2608,23.79917763,90.39552764,"'23.79917763,90.39552764'"
2609,23.79917763,90.39732964,"'23.79917763,90.39732964'"
2610,23.79917763,90.39913164,"'23.79917763,90.39913164'"
2611,23.79917763,90.40093364,"'23.79917763,90.40093364'"
2612,23.79917763,90.40273564,"'23.79917763,90.40273564'"
2613,23.79917763,90.40453764,"'23.79917763,90.40453764'"
2614,23.79917763,90.40633964,"'23.79917763,90.40633964'"
2615,23.79917763,90.40814164,"'23.79917763,90.40814164'"
2616,23.79917763,90.40994364,"'23.79917763,90.40994364'"
2617,23.79917763,90.41174564,"'23.79917763,90.41174564'"
2618,23.79917763,90.41354764,"'23.79917763,90.41354764'"
2619,23.79917763,90.41534964,"'23.79917763,90.41534964'"
2620,23.79917763,90.41715164,"'23.79917763,90.41715164'"
2621,23.79917763,90.41895364,"'23.79917763,90.41895364'"
2622,23.79917763,90.42075564,"'23.79917763,90.42075564'"
2623,23.79917763,90.42255764,"'23.79917763,90.42255764'"
2624,23.80097963,90.34326964,"'23.80097963,90.34326964'"
2625,23.80097963,90.34507164,"'23.80097963,90.34507164'"
2626,23.80097963,90.34687364,"'23.80097963,90.34687364'"
2627,23.80097963,90.34867564,"'23.80097963,90.34867564'"
2628,23.80097963,90.35047764,"'23.80097963,90.35047764'"
2629,23.80097963,90.35227964,"'23.80097963,90.35227964'"
2630,23.80097963,90.35408164,"'23.80097963,90.35408164'"
2631,23.80097963,90.35588364,"'23.80097963,90.35588364'"
2632,23.80097963,90.35768564,"'23.80097963,90.35768564'"
2633,23.80097963,90.35948764,"'23.80097963,90.35948764'"
2634,23.80097963,90.36128964,"'23.80097963,90.36128964'"
2635,23.80097963,90.36309164,"'23.80097963,90.36309164'"
2636,23.80097963,90.36489364,"'23.80097963,90.36489364'"
2637,23.80097963,90.36669564,"'23.80097963,90.36669564'"
2638,23.80097963,90.36849764,"'23.80097963,90.36849764'"
2639,23.80097963,90.37029964,"'23.80097963,90.37029964'"
2640,23.80097963,90.37210164,"'23.80097963,90.37210164'"
